"","V1","V2"
"67",2.59093610332463e-21,0.000113548448862698
"68",1.1523161448786e-52,1.23847722300299e-29
"69",0.00313125360674602,1.62053243351789e-31
"70",7.57772343467338e-11,0.0180357906219939
"71",1.91705066894212e-26,4.17455340155938e-29
"72",1.38146761130186e-26,1.6080911083899e-24
"73",7.67042548025487e-65,1.14865710084782e-43
"74",6.05021280647708e-20,6.50549205187702e-07
"75",4.65200106137598e-39,1.97305855578784e-05
"76",1.84176989888171e-20,1.38199045860084e-18
"77",3.65071633699363e-21,0.000210299244823653
"78",6.70990556880866e-49,1.70197138397909e-21
"79",8.80833475363267e-21,1.00320173232152e-05
"80",9.67233738326382e-22,4.02349289417562e-25
"81",4.73401575419853e-18,0.0154394811444447
"82",1.65321172464037e-08,0.0206004132604009
"83",1.00302034673557e-33,0.00690302967181593
"84",2.62925381530791e-28,4.5505643932755e-27
"85",2.99362972842085e-20,2.3508529432907e-26
"86",2.44314969101994e-77,5.20561215918889e-30
"87",1.17439988004439e-30,5.77477965531753e-28
"88",1.5668221638188e-18,0.015416929304546
"89",5.81990733564355e-70,1.71515009963609e-33
"90",6.3899813577722e-65,3.9072902754321e-45
"91",1.29707073130227e-57,8.35704945501514e-15
"92",4.15336539364782e-31,2.9518165797556e-39
"93",4.27930749973069e-20,0.00528311042636616
"94",2.24284464895781e-16,5.35677019847208e-12
"95",1.71244496629174e-55,1.41213057718124e-17
"96",4.26350607660649e-60,2.03208782694553e-09
"97",2.77521979611718e-33,0.00202442221680408
"98",2.56350475448736e-16,4.51047978419353e-06
"99",6.54158601499671e-20,0.0181205231656801
"100",1.02411755640034e-47,2.26701811741753e-19
"101",2.8116945602744e-52,9.34424346001937e-39
"102",3.72688664190331e-09,7.62702206350179e-09
"103",2.00160756117813e-59,6.30089593394543e-19
"104",1.37324707352332e-43,9.09885880697801e-23
"105",4.62594192278843e-24,1.63308428686711e-22
"106",6.97350329365959e-87,2.59775004630361e-30
"107",3.97101336713609e-30,3.46761937845611e-38
"108",3.25674175287559e-50,1.15943195942273e-15
"109",4.50696643901992e-64,8.98948426712593e-46
"110",1.56337642523539e-21,0.00146139440351392
"111",6.36134129640781e-42,4.752784206992e-06
"112",2.24697606457483e-35,2.6095098419951e-06
"113",5.06793939042533e-50,3.68920561845975e-11
"114",1.60000588554257e-35,2.49354439288778e-30
"115",3.99423570806087e-13,8.33997994845888e-08
"116",1.07471490775266e-54,4.36756715531203e-37
"117",6.60621514204201e-55,7.33736607119211e-31
"118",1.03653056984019e-13,0.00630065992865344
"119",2.37851479587183e-25,2.741594196008e-23
"120",9.51897441093712e-74,2.17269305924861e-37
"121",2.0916637547543e-14,4.52786220413898e-15
"122",9.86500032125105e-51,1.22974567140999e-14
"123",6.65239263467165e-39,5.51335579245908e-21
"124",1.86596492560636e-45,1.59660671630843e-07
"125",3.2464596416849e-35,2.7811787993125e-29
"126",9.39041560179736e-27,5.4332534116519e-13
"127",3.68589550031817e-55,4.30200381813748e-31
"128",1.42361511173232e-65,8.09895929782274e-25
"129",1.89860306929957e-50,3.02919357711567e-23
"130",3.0578668846584e-63,7.90552620134224e-44
"131",5.85960507311892e-36,1.72174614909311e-27
"132",1.83734444470761e-35,0.0123414209884198
